Lp.;Nazwa w≥asna;Telefon;Email;Charakter us≥ug;Kategoria obiektu;Rodzaj obiektu;Adres
576;TRZY R”ØE;81 475 85 05;info@trzyroze.pl;sta≥y;***;hotel;20-515 Zemborzyce Dolne, zemborzyce dolne 96a
577;KAMIZA;+48-29 742-52-;kamiza@ort.pl;sta≥y;***;hotel;07-221 BraÒszczyk, miejscowoúÊ Turzyn 192 A
578;"""VICTORIA""";0 - 58 778 -;recepcja@hotelviktoria.pl;sta≥y;***;hotel;84-239 Bolszewo, Zamostna 1
579;REZYDENCJA;(075) 76-180-20;;sta≥y;***;hotel;58-540 Karpacz, Parkowa 6
580;"""BEST WESTERN PLUS BUSINESS FALTOM HOTEL""";58/77-655-00;recepcja@faltombusiness.pl;sta≥y;***;hotel;84-230 Rumia, Sobieskiego 125
581;KONTRAST;(12) 262-30-51;rezerwacja@hotel-kontrast.pl;sta≥y;***;hotel;30-437 KrakÛw, ul. Forteczna 22
582;QUBUS HOTEL Z£OTORYJA;768783597;ZLOTORYJA@QUBUSHOTEL.COM;sta≥y;***;hotel;59-500 Z≥otoryja, PL.REYMONTA 7
583;"""DOM KURACYJNY MESSA""";58/674-13-72;biuro@messawladyslawowo.pl;sta≥y;***;hotel;84-120 W≥adys≥awowo, Niepodleg≥oúci 10
584;TRZY KORONY;177 411 214;biuro@hotel-trzykorony.pl;sta≥y;***;hotel;36-060 Rudna Ma≥a, Rudna Ma≥a 2c
585;HOTEL MYSTKOWO GRZYMKI CENTRUM KONFERENCYJNO-SZKOLENIOWE;795-577-738;recepcja@dwormystkowo.pl;sta≥y;***;hotel;09-130 Mystkowo, Mystkowo 22
586;HOTEL SOKO£OWSKA;22-350-74-87;recepcja@hotelsokolowska.pl;sta≥y;***;hotel;05-102 Nowy DwÛr Mazowiecki, Genera≥a Thommee 15
587;hotel ALICJA;(+48 22) 754-34;alicj@ta.pl;sta≥y;***;hotel;05-520 Konstancin-Jeziorna, Pocztowa 15
588;Hotel Akropol;566 787 846;;sta≥y;***;hotel;87-165 Cierpice, sosnowa 14
589;KAMELEON;32 43-40-167;recepcja@hotelkameleon.com;sta≥y;***;hotel;44-240 Øory, BoryÒska 7
590;NEVADA;683 411 223;recepcja@hotelnevada.pl;sta≥y;***;hotel;66-220 Poürzad≥o, Poürzad≥o 5a/c
591;HOTEL STYLOWA;774 103 481;;sta≥y;***;hotel;46-100 Namys≥Ûw, Braterska 3a
592;PA£AC BORYNIA;+48 32 471 94 74;hotel@palacborynia.pl;sta≥y;***;hotel;44-268 JastrzÍbie-ZdrÛj, Zamkowa 5
593;Zaodrze;077/4515218;;sta≥y;***;hotel;45-716 Opole, Spychalskiego 25
594;"""£EBA""";0 - 59 866 -;office@hotelleba.pl;sta≥y;***;hotel;84-360 £eba, Nadmorska 9B
595;QUBUS HOTEL Z£OTORYJA;768783597;zlotoryja@qubushotel.com;sta≥y;***;hotel;59-500 Z≥otoryja, Pl. Reymonta 7
596;HOTEL MELA VERDE;22 379-00-03;max@hotelmelaverde.pl;sta≥y;***;hotel;05-077 ZakrÍt, Cisowa 1
597;POD R”ØAMI;(075) 755-14-53;biuro@podrozami.pl;sta≥y;***;hotel;58-560 Jelenia GÛra, Pl. Piastowski 26
598;MILLENIUM;728 905 612;poczta@hotelmillenium.eu;sta≥y;***;hotel;39-204 ØyrakÛw, øyrakÛw 169d
599;DIANA;+48-22- 768-01-;marinadiana@xl.wp.pl;sta≥y;***;hotel;05-127 Bia≥obrzegi, Wczasowa 24
600;"""CENTRUM MALBORK""";58/273 22 33;rezerwacja@hotelmalbork.pl;sta≥y;***;hotel;82-200 Malbork, Al. Rod≥a 7
601;BUKOWY DWOREK;+48 68 3412088;bukowy.administracja@geovita.pl;sta≥y;***;hotel;66-220 GronÛw, GronÛw 23
602;UROCZYSKO;41 302 21 21, 3;uroczysko@business.kielce.pl;sta≥y;***;hotel;25-900 Cedzyna, Cedzyna 44 D
603;CAMPANILE WROC£AW CENTRUM;717830300;wroclaw.centrum@campanile.com;sta≥y;***;hotel;53-302 Wroc≥aw, åL ØNA 26
604;Hotel Calisia;062 797 91 00;rezerwacja@hotel-calisia;sta≥y;***;hotel;62-800 Kalisz, Nowy åwiat 1-3
605;"""OLIWSKI""";0 - 58 761 - 66;hotel@hotel-oliwski.pl;sta≥y;***;hotel;80-332 GdaÒsk, Piastowska 1
606;ADAM & SPA;748664246;recepcja@adamspa.pl;sta≥y;***;hotel;57-350 Kudowa-ZdrÛj, LUBELSKA 1A
607;PA£AC RACOT;65 511 79 58;recepcja@racot.pl;sta≥y;***;hotel;64-000 Racot, dworcowa 5
608;AUSTERIA NIEMCZA—SKA;746322411;;sta≥y;***;hotel;58-230 Niemcza, OSIEDLE PODMIEJSKIE 1B
609;G”RNIK;94- 35 26 005;gornik@nat.pl;sta≥y;***;hotel;78-100 Ko≥obrzeg, Koúciuszki 3
610;ROYAL;(12) 421-35-00;royal@hotelewam.pl;sta≥y;***;hotel;31-048 KrakÛw, ul. åw. Gertrudy 26-29
611;KARDAMON;604 115 137;biuro@hotel-kardamon.pl;sta≥y;***;hotel;33-113 Zbylitowska GÛra, ul. Zbylitowskich 157
612;Hotel Dworek;062 730 95 50;dworek@ecentrum.pl;sta≥y;***;hotel;62-500 OstrzeszÛw, Kaliska 7/ 9
613;HALNY;33 852-04-51;halny@ orbis.pl;sta≥y;***;hotel;43-400 Cieszyn, Motelowa 21
614;POLLERA;(0 12) 422-10-4;rezerwacja@pollera.com.pl;sta≥y;***;hotel;31-024 KrakÛw, ul. Szpitalna 30
615;STYL 70;032-449-30-02;recepcja@hotelstyl70.pl;sta≥y;***;hotel;43-211 Piasek, Studzienicka 58
616;RYCERSKI;(91)814 66 01;rycerski@hotelewam.pl;sta≥y;***;hotel;70-230 Szczecin, Potulicka 1A
617;REYMONT;0-42 633-80-23;reymont@hotelewam.pl;sta≥y;***;hotel;91-072 £Ûdü, LegionÛw 81
618;ZIELONY GOåCINIEC;044 619-20-62,;biuro@zielony-gosciniec.pl;sta≥y;***;hotel;97-330 W≥odzimierzÛw, Zdrowie 43, p-ta SulejÛw
619;M£YN KLEKOTKI;55-249-00-00;recepcja@hotelmlynklekotki.pl;sta≥y;***;hotel;14-407 Klekotki, 1
620;PODJADEK;62 73 48 717;podjadek@podjadek.com.pl;sta≥y;***;hotel;63-410 GÛrzno, gÛrzno 20
621;AMBASADOR;0-42 646-49-04,;recepcja@hotelambasador.pl;sta≥y;***;hotel;93-320 £Ûdü, KosynierÛw GdyÒskich 8
622;ORLIK;(18)533-03-75;orlik@krynica.pl;sta≥y;***;hotel;33-380 Krynica-ZdrÛj, ul. Koúciuszki 7
623;Hotel Dorrian;061 867 45 22,;biuro@dorrian.pl , rezerwacja@dorrian.pl;sta≥y;***;hotel;60-751 PoznaÒ, WyspiaÒskiego 29
624;QUALITY HOTEL SYSTEM WROC£AW NEAST;713 649 700;premium.wro@hotelsystem.pl;sta≥y;***;hotel;51-163 Wroc≥aw, AL.KROMERA 16
625;"""AMBER""";0-58 718-71-87;amberhotel@wp.pl;sta≥y;***;hotel;80-165 GdaÒsk, PowstaÒcÛw Warszawskich 45
626;VESTINA WELLNESS & SPA;(91) 328-11-21;;sta≥y;***;hotel;72-500 MiÍdzyzdroje, Promenada Gwiazd 36
627;IBIS STYLES WA£BRZYCH;746655444;;sta≥y;***;hotel;58-300 Wa≥brzych, 1 MAJA 70
628;MERCURE ZAKOPANE KASPROWY;18 202-40-03;h3399-AM@accor.com;sta≥y;***;hotel;34-500 Zakopane, ul. Szymaszkowa
629;Olympic Hotel;067 254 55 00;hotel@wronki-olympic.pl;sta≥y;***;hotel;61-540 , Leúna 15 a
630;"""Petite Fleur""";056-6634400 66;: hotel@petitefleur.pl;sta≥y;***;hotel;87-100 ToruÒ, Piekary 25
631;CENTRUM DIKUL;717 967 766;recepcja@dikul.pl;sta≥y;***;hotel;50-136 Wroc≥aw, CIESZY—SKIEGO 17-19
632;POLICE;519349001;hotel@mop-police.lotospaliwa.pl;sta≥y;***;hotel;62-604 Koúcielec, police 19
633;ATRIUM;(12) 430-02-03;hotelatrium@hotelatrium.pl;sta≥y;***;hotel;31-149 KrakÛw, ul. Krzywa 7
634;"""IBIS STYLES GDYNIA REDA""";58 736 48 00;hotel@hotelwasko.pl;sta≥y;***;hotel;84-240 Reda, Pucka 10B
635;SKALNY;(18) 201-91-00;skalny@skalny.com.pl;sta≥y;***;hotel;34-500 Zakopane, ul. Parda≥Ûwka 3 b
636;AQUA-ZDR”J;74 66 09 300;;sta≥y;***;hotel;58-304 Wa≥brzych, RATUSZOWA 6
637;POD D BAMI;0-42 227-13-09,;hotel@deby.pl;sta≥y;***;hotel;95-081 Paw≥Ûwek, p-ta D≥utÛw
638;DOMINO;77/ 4608305;recepcja@hoteldomino.eu;sta≥y;***;hotel;49-100 Niemodlin, Opolska 54
639;Hotel HenLex;061 879 87 71;henlex@hotel-henlex.com.pl;sta≥y;***;hotel;61-312 PoznaÒ, Sp≥awie 43
640;DELTA;(0 12)633-21-11;recepcja@deltahotel.pl;sta≥y;***;hotel;30-036 KrakÛw, ul. Mazowiecka 6
641;HOTEL I GOSPODA TADEUSZ;(14) 685-88-45;biuro@hotel-tadeusz.pl;sta≥y;***;hotel;32-864 Gnojnik, Uszew 502
642;"""IMPRESJA""";0-58 343-87-0;info@hotelimpresja.pl;sta≥y;***;hotel;80-210 GdaÒsk, Tuwima 12
643;DW”R LWOWSKI;81 50 18 251;dwor@dworlwowski.pl;sta≥y;***;hotel;21-080 GarbÛw, Bogucin 108 A
644;POLONIA;627 351 437;;sta≥y;***;hotel;63-400 OstrÛw Wielkopolski, rynek 34
645;A`PROPOS;748404049;info@aproposclub.com;sta≥y;***;hotel;58-309 Wa≥brzych, WIENIAWSKIEGO 82
646;JAGA;(14) 684-94-02;info@hoteljaga.pl;sta≥y;***;hotel;32-800 Brzesko, ul. Koúciuszki
647;SEVILLA;0-46 814-60-57;recepcja@hotel-sevilla.pl;sta≥y;***;hotel;96-200 Niwna, p-ta Rawa Mazowiecka
648;BLACK & WHITE;12 272-00-81;recepcja@blackandwhitehotel.pl;sta≥y;***;hotel;32-400 Myúlenice, ul. Leúna 1
649;NOWY DW”R;17 856 09 90;biuro@hotelnowydwor.pl;sta≥y;***;hotel;36-072 åwilcza, 146 E
650;MARINA;091/328-04-49;marinahotel@az.pl;sta≥y;***;hotel;72-500 MiÍdzyzdroje, Gryfa Pomorskiego 1
651;Hotel Basztowy;523 020 006;recepcja@hotel-basztowy.com.pl;sta≥y;***;hotel;88-400 Ønin, 700-lecia 1
652;CHABROWY DWOREK;46 861 54 74;;sta≥y;***;hotel;96-515 Teresin, Seroki Wieú 138 A
653;PIAST;774 549 710;office@hotel-piast.opole.pl;sta≥y;***;hotel;45-081 Opole, Piastowska 1
654;KINGA;32 209-96-69;;sta≥y;***;hotel;40-318 Katowice, Zimowa 36
655;ALLEGRI;32-263-28-72;hotel@allegri.com.pl;sta≥y;***;hotel;42-500 BÍdzin, Øeromskiego 11
656;ARTUS;757616346;recepcja@hotelartus.pl;sta≥y;***;hotel;58-540 Karpacz, WILCZA 9
657;POSNANIA;612 951 488;recepcjA@LEZECZKI.PL;sta≥y;***;hotel;64-412 £Íøeczki, £ ZECZKI1
658;BELWEDERSKI;22 840-40-11;belwederski@hotelewam.pl;sta≥y;***;hotel;00-758 Warszawa, Sulkiewicza 11
659;GREEN HOTEL;(12) 389-09-00;hotel@greenhotel.pl;sta≥y;***;hotel;32-048 Jerzmanowice, SπspÛw 122
660;WILLA ZBYSZJKO;(91) 39 20 300;biuro@willa-zbyszko.pl;sta≥y;***;hotel;72-400 Nowogard, tADEUSZA kOåCIUSZKI 16k
661;DWOREK EMILII;12 250-79-09;emila@autograf.pl;sta≥y;***;hotel;32-020 Wieliczka, Tomaszkowice 440
662;MAKSYMILIAN;12 341-44-93;biuro@hotelmaksymilian.pl;sta≥y;***;hotel;31-128 KrakÛw, ul. Karmelicka 36
663;Piast;077/4334084;hotelpiastnysa@poczta.onet.pl;sta≥y;***;hotel;48-300 Nysa, Krzywoustego 14
664;KMICIC;34 327-80-64;biuro@ hotel-kmicic.pl;sta≥y;***;hotel;42-253 Z≥oty Potok, Majora Wrzoska 35
665;HYATT Regency Warsaw Hotel;(+48-22) 558-12;info@hyattwarsaw.pl;sta≥y;***;hotel;00-761 Warszawa, Belwederska 23
666;SKALA;83 344 76 76;hotel@skalabp.pl;sta≥y;***;hotel;21-500 Bia≥a Podlaska, Artyleryjska 1
667;GOLD;146 814 244;recepcja@hotel-gold.eu;sta≥y;***;hotel;39-200 DÍbica, £ukasiewicza 29 a
668;"""BLICK""";58 78-30-300;hotel@hotelblick.pl;sta≥y;***;hotel;81-351 Gdynia, Jana z Kolna 6
669;MAZOWIECKI;0-44 724-64-01,;hotel@tompol.com.pl;sta≥y;***;hotel;97-200 TomaszÛw Mazowiecki, åw. Antoniego 19
670;CLASIC;12 291-43-40;clasictour@op.pl;sta≥y;***;hotel;32-020 Wieliczka, ul. Dembowskiego 60
671;PARTNER;(+48-22) 814-23;recepcja@partnerhotel.pl;sta≥y;***;hotel;03-228 Warszawa, Marywilska 16
672;RELAX;612 951 488;RELAX@HOT.PL;sta≥y;***;hotel;62-095 Murowana Goúlina, POZNA—SKA 47
673;HOTEL AQUARIUS;603795500;hotel@hotelaquarius.pl;sta≥y;***;hotel;87-700 Odolion, Szosa CiechociÒska 7
674;HOTEL M£YN;55-235-04-70;info@hotelmlyn.com.pl;sta≥y;***;hotel;82-300 Elblπg, Koúciuszki 132
675;HOTEL ZA PARKIEM;774 195 653;jakubus@jakubus.pl;sta≥y;***;hotel;46-113 Jakubowice, jakubowice 36
676;"""U WITASZKA""";22 785 02 02;hotel@uwitaszka.pl;sta≥y;***;hotel;05-152 CzosnÛw, W≥. Lercha 5
677;MILORD HOTEL-RESTAURACJA-SALA BANKIETOWA;236920605;biuro@milordhotel.pl;sta≥y;***;hotel;06-100 Kleszewo, kleszewo 43
678;MIKULSKI;32 331-82-01;recepcja@ hotelmikulski.pl;sta≥y;***;hotel;44-100 Gliwice, Dπbrowskiego 24
679;TRZY WYSPY;91-884-00-00;administracja@trzywyspy.pl;sta≥y;***;hotel;72-600 åwinoujúcie, S≥owackiego 2a
680;POLESKI;12 260-54-15;hotel@hotelpoleski.pl;sta≥y;***;hotel;30-301 KrakÛw, ul. Sandomierska 6
681;VINCI;12 378-44-00;biuro@vincihotel.pl;sta≥y;***;hotel;32-085 Modlniczka, ul. Kasztanowa 25
682;KATOWICE;+48 32 258 82 81;hotel@hotel-katowice.com.pl;sta≥y;***;hotel;40-951 Katowice, Al. Korfantego 9
683;POD JEDLAMI;033-855-24-17;rezerwacja@podjedlami.pl;sta≥y;***;hotel;43-460 Wis≥a, Beskidzka 17
684;PURO;717725100;wroclaw@purohotel.pl;sta≥y;***;hotel;50-072 Wroc≥aw, W£ODKOWICA 6
685;RODAN;61 819 08 21;info@hotel-RODAN.pl;sta≥y;***;hotel;62-035 Skrzynki, POZNA—SKA 5D
686;JAN;(18) 262-19-01;hoteljan@o2.pl;sta≥y;***;hotel;34-460 Szlachtowa, ul. cieúliska 90
687;SYMFONIA;043 845-35-50;recepcja@hotelsymfonia.pl;sta≥y;***;hotel;98-320 OsjakÛw, CzÍstochowska 53 A
688;IBIS STYLES BIA£YSTOK;85 877 25 00;H9062@accor.com;sta≥y;***;hotel;15-444 Bia≥ystok, Pi≥sudskiego 25
689;MAGURA;33 819-91-99;magura@ orbis.pl;sta≥y;***;hotel;43-300 Bielsko-Bia≥a, Øywiecka 93
690;Europejski;0-77/4335314;;sta≥y;***;hotel;48-300 SkorochÛw, SkorochÛw 21 k
691;AMBER;713150000;recepcja@hotelamber.pl;sta≥y;***;hotel;56-400 Cieúle,
692;HOTEL LW”W;81 745 57 09;lwow@lwow.lublin.pl;sta≥y;***;hotel;20-301 Lublin, Bronowicka 2
693;OSTOJA;(18)351-41-69;kontakt@zajazdostoja.pl;sta≥y;***;hotel;38-350 Bobowa, ul. Grunwaldzka 53
694;Q HOTEL KRAK”W;12 333-41-41;rezerwacje@hotelqkrakow.pl;sta≥y;***;hotel;31-342 KrakÛw, ul. Radzikowskiego 142
695;ASPEN;77 439 48 05;recepcja@hotelaspen.pl;sta≥y;***;hotel;48-340 Podlesie, Podlesie
696;CENTURIA;32 678-35-00;recepcja@hotelcenturia.pl;sta≥y;***;hotel;42-440 Ogrodzieniec, Centuria 1
697;"""HOTEL 77""";58 572 27 77;recepcja@hotel77.pl;sta≥y;***;hotel;84-120 Cha≥upy, Kaperska 77
698;CESARSKIE OGRODY;91-321-02-21;info@cesarskieogrody.pl;sta≥y;***;hotel;72-600 åwinoujúcie, WyspiaÒskiego 34a
699;NAD RAB•;(14) 611-39-93;recepcja@hotelnadraba.pl;sta≥y;***;hotel;32-700 Bochnia, ul. Proszowska 121
700;BLUES;32-771-94-35;info@blues-hotel.pl;sta≥y;***;hotel;41-500 ChorzÛw, Wolnoúci 15
701;"""HAMPTON BY HILTON GDA—SK AIRPORT""";58/882-10-00;gdnap_hampton@hilton.com;sta≥y;***;hotel;80-298 GdaÒsk, S≥owackiego
702;LIBERO;71383 13 90;hotel@hotel-libero.pl;sta≥y;***;hotel;56-300 Milicz, Koúciuszki 2
703;POD Z£OT• KORON•;77 456 20 52;korona1@poczta.fm;sta≥y;***;hotel;45-641 Opole, oúwiÍcimska 136
704;KUèNIA SMAK”W;663943934;biuro@kuzniasmakow.com;sta≥y;***;hotel;87-207 Ma≥e Pu≥kowo, 20
705;GARAGE HOTEL;54 236 36 12;;sta≥y;***;hotel;87-800 W≥oc≥awek, ToruÒska 113
706;WARSZAWSKI;(12) 424-21-00;recepcja@hotelwarszawski.pl;sta≥y;***;hotel;31-154 KrakÛw, ul. Pawia 4-6
707;"""KISTON""";607-300-500;kiston@kiston.pl;sta≥y;***;hotel;83-320 Kistowo, KISTOWO 26
708;DIAMENT USTRO—;+48 33 854 33 91;ustron@hotelediament.pl;sta≥y;***;hotel;43-450 UstroÒ, Zdrojowa 3
709;LAJKONIK;(33) 874-51-00;hotellajkonik@onet.pl;sta≥y;***;hotel;34-223 Zawoja, Zawoja 1550
710;OSTANIEC;34 315-50-01;biuro@ ostaniec.com.pl;sta≥y;***;hotel;42-425 Podlesice, -
711;AGAT;757 173 430;recepcja@hotel-agat.pl;sta≥y;***;hotel;58-580 Szklarska PorÍba, 1 Maja 11
712;TYCJAN;+48 33 86 37 22;info@hotel-tycjan.pl;sta≥y;***;hotel;34-360 MilÛwka, Plac Wolnoúci 7
713;RESTAURACJA ADA;77 472 21 21;rezerwacje@hotelada.pl;sta≥y;***;hotel;47-210 WiÍkszyce, G≥ogowska 1
714;ALEX;(084) 627 27 11;recepcja@hotel-alex.pl;sta≥y;***;hotel;22-400 ZamoúÊ, Okrzei 32
715;SIENIAWA PA£AC HOTEL;16 649 17 00;recepcja@palacsieniawa.pl;sta≥y;***;hotel;37-530 Sieniawa, Koúciuszki 32
716;HOTEL RONDO;532500800;;sta≥y;***;hotel;87-200 Wπbrzeüno, Miko≥aja z RyÒska 11 a
717;"HOTEL ""VICTORIA""";544 124 400;recepcja@victoria-hotel.pl;sta≥y;***;hotel;87-800 W≥oc≥awek, Przechodnia 1 B
718;DUET;(071) 34-10-916;;sta≥y;***;hotel;50-127 Wroc≥aw, åw. Miko≥aja 47-48
719;CHATA KARCZOWISKA;(076) 844-90-20;karczowiska@chata.dip.pl;sta≥y;***;hotel;59-307 RaszÛwka, Karczowiska 4
720;HOTEL HAMPTON BY HILTON WARSAW AIRPORT;(22) 204-18-00;wawap@port-hotel.com;sta≥y;***;hotel;02-148 Warszawa, 17-ego Stycznia 39 F
721;WESO£A;( 14) 678-62-14;;sta≥y;***;hotel;33-151 Nowa Jastrzπbka, Nowa Jastrzπbka 92 A
722;TARA;41 344-32-01;tara@tara.pl;sta≥y;***;hotel;25-310 Kielce, Koúciuszki 24
723;PA—SKA G”RA;32 6150-150;hotel@panskagora.com.pl;sta≥y;***;hotel;43-600 Jaworzno, Krakowska 1
724;PATIO;(071) 37-50-400;marketing@hotelpatio.pl;sta≥y;***;hotel;50-110 Wroc≥aw, Kie≥baúnicza 24/25
725;PLANETA;601 066 566;klubplaneta.ks@gmail.com;sta≥y;***;hotel;32-250 Charsznica, øarnowiecka 45a
726;ZAJAZD CELTYCKI;(0 12)251-18-16;zajazdceltycki@wp.pl;sta≥y;***;hotel;32-003 ZakrzÛw, ZakrzÛw 343
727;WYSOKA;18 471-58-92;wysoka@wysoka.com;sta≥y;***;hotel;33-380 Krynica-ZdrÛj, ul. Polna 2
728;"'PAN TADEUSZ""";052 3605400 05;recepcja@hotel-pan-tadeusz.pl;sta≥y;***;hotel;86-031 Osielsko, Szosa GdaÒska 43
729;PANORAMA;(0 14)610-92-30;biuro@panorama-wisnicz.pl;sta≥y;***;hotel;32-720 Nowy Wiúnicz, Stary Wiúnicz 508
730;"""MAJEWSKI""";58/272-26-55;hotel@hotel-majewski.pl;sta≥y;***;hotel;82-200 Malbork, Daleka 125
731;HOTEL KUR;89-521-47-00;hotel@hotelkur.pl;sta≥y;***;hotel;10-189 Olsztyn, Ba≥tycka 89
732;HOTEL DOBCZYCE;12 271-38-30;recepcja@jalowcowagora.pl;sta≥y;***;hotel;32-410 Dobczyce, ul. Ja≥owcowa 30
733;JANUSZ;6442472;;sta≥y;***;hotel;08-110 Siedlce, Pusta 15
734;KOSMOWSKI;;;sta≥y;***;hotel;62-300 Wrzeúnia, Wroc≥awska 43
735;"""FOCUS""";58/35-00-801;gdansk@hotelfocus.com.pl;sta≥y;***;hotel;80-718 GdaÒsk, Elblπska 85
736;KASZTELAN;(12) 274-32-66;recepcja@hotelkasztelan.pl;sta≥y;***;hotel;32-410 Dobczyce, ul. Przedbronie 3
737;Hotel Batory;061 832 44 81;info@batory.poznan.pl;sta≥y;***;hotel;60-115 PoznaÒ, LeszczyÒska 7-13
738;WENA;713878989;recepcja@hotelwena.pl;sta≥y;***;hotel;51-180 Psary, G”WNA 20
739;AMBER SUITE;730 16 16 16;biuro@ambersuite.pl;sta≥y;***;hotel;72-415 MiÍdzywodzie, Pu≥awska
740;POD RATUSZEM;438424335;recepcja@hotelpodratuszem.com;sta≥y;***;hotel;98-300 WieluÒ, KrÛlewska 7-9
741;FADO;095 738-88-00;recepcja@hotelfado.pl;sta≥y;***;hotel;66-400 GorzÛw Wielkopolski, Al. Konstytucji 3 Maja 12
742;PARK HOTEL;0 52 3828330;;sta≥y;***;hotel;85-011 Tryszczyn, D≥uga 1
743;PROMIS;68 362-59-00;info@hotelpromis.pl;sta≥y;***;hotel;68-212 Jag≥owice, Jag≥owice 28
744;HOTEL MASOVIA;87-735-20-90;recepcja@hotelmasovia.pl;sta≥y;***;hotel;11-500 Giøycko, Dπbrowskiego 8
745;"""CZTERY BRZOZY""";58 309 09 09;hotel@hotelczterybrzozy.pl;sta≥y;***;hotel;80-180 Kowale, skromna 1
746;"""G”RSKI""";58/691-04-80;hotel@hotelgorski.com;sta≥y;***;hotel;83-000 Pruszcz GdaÒski, Grunwaldzka 64
747;KLIMCZAK;43 678-06-53;rejestracja@hotelklimczak.pl;sta≥y;***;hotel;98-200 Sieradz, Wojska Polskiego 99
748;HOTEL & RESTURACJA CZTERY PORY ROKU;55-235-15-24;cpr@onet.pl;sta≥y;***;hotel;11-130 Orneta, Braniewska
749;CYPRUS;+48 (0-22) 734-;hotel.cyprus@gmail.com;sta≥y;***;hotel;05-825 Ksiπøenice, Mazowiecka 121 A
750;PREEMIER;(074) 85-85-120;eda@preem.pl;sta≥y;***;hotel;58-124 Marcinowice, Wroc≥awska 12
751;OMEGA HOTEL;89-522-05-00;hotel@omegahotel.pl;sta≥y;***;hotel;10-802 Olsztyn, Sielska 4a
752;ASCOT HOTEL;(12) 384-06-06;recepcja@hotelascot.pl;sta≥y;***;hotel;31-026 KrakÛw, ul. Radziwi≥≥owska 3
753;"""FAHRENHEIT""";58/324-74-00;recepcja@fahrenheit.pl;sta≥y;***;hotel;80-841 GdaÒsk, Grodzka 19
754;ZBYSZKO;91-431-34-60;biuro@hotelzbyszko.com.pl;sta≥y;***;hotel;70-783 Szczecin, Rydla 92
755;CONFERO;774 091 261;;sta≥y;***;hotel;48-303 Nysa, Pi≥sudskiego
756;SEN;068 475-66-44;Hotelsen@e7.pl;sta≥y;***;hotel;66-200 åwiebodzin, Genera≥a åwierczewskiego 1
757;HOTEL VILLA;564 779 853;hotel-villa@wp.pl;sta≥y;***;hotel;86-300 Grudziπdz, Che≥miÒska 44
758;"""STARY MALBORK""";0 - 55 647 -;hotel@hotelstarymalbork.com.pl;sta≥y;***;hotel;82-200 Malbork, 17 Marca 26-27
759;WIOSNA;(0 18)267-77-77;recepcja@wiosna.net;sta≥y;***;hotel;34-700 Rabka-ZdrÛj, ul. Poniatowskiego 54
760;HUZAR;(81) 53 305 36;huzar@hotelewam.pl;sta≥y;***;hotel;20-043 Lublin, ul. Spadochroniarzy 9
761;OåRODEK SZKOLENIA I PRZYGOTOWA— OLIMPIJSKICH W BIATHLONIE;757173612;kontakt@jakuszyce-biathlon.pl;sta≥y;***;hotel;58-580 Jakuszyce, JAKUSZYCE 7
762;DOBOSZ;91- 317 52 58;recepcja@dobosz.pl;sta≥y;***;hotel;72-010 Police, WrÛblewskiego 1
763;PA£AC;774 397 553;;sta≥y;***;hotel;46-113 Jakubowice, 36
764;HOTEL PA£AC BURSZTYNOWY;542 319 100;recepcja@palacbursztynowy.pl;sta≥y;***;hotel;87-800 W≥oc≥awek, OkrÍøna 21
765;Posnania;;;sta≥y;***;hotel;64-412 £Íøeczki, £Íøeczki
766;"""STAROMIEJSKI""";0 - 59 842 -;biuro@przymorze.com.pl;sta≥y;***;hotel;76-200 S≥upsk, Jednoúci Narodowej 4-5
767;AGIT CONGRESS&SPA;818228122;hotel@agit.com.pl;sta≥y;***;hotel;20-078 Lublin, wojciechowska 29
768;"""NIEDZWIADEK""";58/686-13-13;niedzwiadek@niedzwiadek.gda.pl;sta≥y;***;hotel;83-406 Wdzydze, Wπglikowice
769;HOTEL KOPCZY—SKI;89-513-33-13;hotel@hotelkopczynski.pl;sta≥y;***;hotel;11-040 Dobre Miasto, Or≥a Bia≥ego 18
770;ARTUR;(12) 651-06-00;hotelartur@hotelartur.pl;sta≥y;***;hotel;30-837 KrakÛw, ul. Aleksandry 30
771;Energetyk;/0-13/ 435-03-1;hoteliwonicz@hotels-energetyk.com.pl;sta≥y;***;hotel;38-440 Iwonicz-ZdrÛj, Piwarskiego 26
772;Stara Stajnia;;;sta≥y;***;hotel;63-300 Zawidowice, Zawidowice 14g
773;Hotel 500;061 896 24 00,;;sta≥y;***;hotel;62-080 Tarnowo PodgÛrne, PoznaÒska 139
774;HOTEL WELLNESS DW”R D BOWIEC;33-858-85-85;biuro @dwordebowiec.pl;sta≥y;***;hotel;43-426 DÍbowiec, SpÛ≥dzielcza 6
775;CITY PARK BARLINEK;95 760 84 50;recepcja@hotel-cityparkbarlinek.pl;sta≥y;***;hotel;72-320 Barlinek, Rynek 11
776;G”RSKO;(12)278-39-27;biuro@hotelgorsko.pl;sta≥y;***;hotel;32-020 Wieliczka, ul. GÛrsko 14/16
777;Hotel IOR;061 867 11 68,;hotel@ior.poznan.pl;sta≥y;***;hotel;60-318 PoznaÒ, Miczurina 20 a
778;WILGA;33-854-33-11;recepcja@wilga-hotel.pl;sta≥y;***;hotel;43-450 UstroÒ, Zdrojowa 7
779;JAMROZOWA POLANA HOTEL&BROWAR;748667500;recepcja@jamrozowapolana.eu;sta≥y;***;hotel;57-340 Duszniki-ZdrÛj, OLIMPIJSKA 1
